Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate,""
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6378,"",,"","",YV,20378,YV,N86309,6378,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,720,0926,126.0,126.0,1.0,8,0700-0759,10.0,0936,1246,20.0,1110,1306,116.0,116.0,1.0,7,1100-1159,0.0,"",0.0,170.0,160.0,130.0,1.0,1117.0,5,14.0,0.0,0.0,0.0,102.0,0724,26.0,26.0,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6373,"",,"","",YV,20378,YV,N86350,6373,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,13158,1315805,33158,MAF,"Midland/Odessa, TX",TX,48,Texas,74,1950,1950,0.0,0.0,0.0,0,1900-1959,20.0,2010,2123,6.0,2130,2129,-1.0,0.0,0.0,-1,2100-2159,0.0,"",0.0,100.0,99.0,73.0,1.0,429.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6368,"",,"","",YV,20378,YV,N93305,6368,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,1200,1155,-5.0,0.0,0.0,-1,1200-1259,12.0,1207,1552,7.0,1638,1559,-39.0,0.0,0.0,-2,1600-1659,0.0,"",0.0,218.0,184.0,165.0,1.0,1416.0,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6367,"",,"","",YV,20378,YV,N88346,6367,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,11540,1154005,30615,ELP,"El Paso, TX",TX,48,Texas,74,1635,1635,0.0,0.0,0.0,0,1600-1659,19.0,1654,1743,3.0,1745,1746,1.0,1.0,0.0,0,1700-1759,0.0,"",0.0,130.0,131.0,109.0,1.0,667.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6359,"",,"","",YV,20378,YV,N84307,6359,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1155,1149,-6.0,0.0,0.0,-1,1100-1159,17.0,1206,1509,6.0,1546,1515,-31.0,0.0,0.0,-2,1500-1559,0.0,"",0.0,171.0,146.0,123.0,1.0,1075.0,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6355,"",,"","",YV,20378,YV,N89317,6355,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,1440,1438,-2.0,0.0,0.0,-1,1400-1459,11.0,1449,1727,3.0,1756,1730,-26.0,0.0,0.0,-2,1700-1759,0.0,"",0.0,136.0,112.0,98.0,1.0,851.0,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6354,"",,"","",YV,20378,YV,N86311,6354,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,15919,1591905,31834,XNA,"Fayetteville, AR",AR,5,Arkansas,71,1423,1434,11.0,11.0,0.0,0,1400-1459,19.0,1453,1558,13.0,1608,1611,3.0,3.0,0.0,0,1600-1659,0.0,"",0.0,105.0,97.0,65.0,1.0,438.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6349,"",,"","",YV,20378,YV,N914FJ,6349,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,947,1018,31.0,31.0,1.0,2,0900-0959,14.0,1032,1121,17.0,1113,1138,25.0,25.0,1.0,1,1100-1159,0.0,"",0.0,86.0,80.0,49.0,1.0,224.0,1,25.0,0.0,0.0,0.0,0.0,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6348,"",,"","",YV,20378,YV,N88327,6348,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,12206,1220605,32206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,74,1810,1810,0.0,0.0,0.0,0,1800-1859,13.0,1823,1918,3.0,1932,1921,-11.0,0.0,0.0,-1,1900-1959,0.0,"",0.0,82.0,71.0,55.0,1.0,295.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,10,3,2024-01-10,UA,UA_CODESHARE,19977,UA,6344,"",,"","",YV,20378,YV,N86311,6344,15919,1591905,31834,XNA,"Fayetteville, AR",AR,5,Arkansas,71,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,1700,1657,-3.0,0.0,0.0,-1,1700-1759,11.0,1708,1835,19.0,1851,1854,3.0,3.0,0.0,0,1800-1859,0.0,"",0.0,111.0,117.0,87.0,1.0,438.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
