Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate,""
2024,1,1,21,7,2024-01-21,UA,UA_CODESHARE,19977,UA,6016,YV,20378,YV,6016,G7,20500,G7,N546GJ,3371,10529,1052907,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,1450,1445,-5.0,0.0,0.0,-1,1400-1459,13.0,1458,1604,5.0,1622,1609,-13.0,0.0,0.0,-1,1600-1659,0.0,"",0.0,92.0,84.0,66.0,1.0,325.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,UA,UA_CODESHARE,19977,UA,6016,YV,20378,YV,6016,G7,20500,G7,N546GJ,3370,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,10529,1052907,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,1235,1229,-6.0,0.0,0.0,-1,1200-1259,21.0,1250,1359,6.0,1359,1405,6.0,6.0,0.0,0,1300-1359,0.0,"",0.0,84.0,96.0,69.0,1.0,325.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,1581,"",,"","",WN,19393,WN,N287WN,1581,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,725,0719,-6.0,0.0,0.0,-1,0700-0759,10.0,0729,0951,4.0,1015,0955,-20.0,0.0,0.0,-2,1000-1059,0.0,"",0.0,110.0,96.0,82.0,1.0,619.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,820,"",,"","",WN,19393,WN,N279WN,820,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,1835,1843,8.0,8.0,0.0,0,1800-1859,10.0,1853,1934,2.0,1945,1936,-9.0,0.0,0.0,-1,1900-1959,0.0,"",0.0,130.0,113.0,101.0,1.0,672.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,3355,"",,"","",WN,19393,WN,N8696E,3355,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1055,1051,-4.0,0.0,0.0,-1,1000-1059,10.0,1101,1618,3.0,1625,1621,-4.0,0.0,0.0,-1,1600-1659,0.0,"",0.0,210.0,210.0,197.0,1.0,1670.0,7,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,152,"",,"","",WN,19393,WN,N8834L,152,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,525,0520,-5.0,0.0,0.0,-1,0001-0559,12.0,0532,0753,7.0,810,0800,-10.0,0.0,0.0,-1,0800-0859,0.0,"",0.0,105.0,100.0,81.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,170,"",,"","",WN,19393,WN,N8881L,170,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1850,1844,-6.0,0.0,0.0,-1,1800-1859,10.0,1854,2116,5.0,2130,2121,-9.0,0.0,0.0,-1,2100-2159,0.0,"",0.0,100.0,97.0,82.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,571,"",,"","",WN,19393,WN,N924WN,571,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,925,0930,5.0,5.0,0.0,0,0900-0959,9.0,0939,1200,3.0,1205,1203,-2.0,0.0,0.0,-1,1200-1259,0.0,"",0.0,100.0,93.0,81.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,2374,"",,"","",WN,19393,WN,N8861Q,2374,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1505,1514,9.0,9.0,0.0,0,1500-1559,12.0,1526,1746,5.0,1740,1751,11.0,11.0,0.0,0,1700-1759,0.0,"",0.0,95.0,97.0,80.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,21,7,2024-01-21,WN,WN,19393,WN,1153,"",,"","",WN,19393,WN,N959WN,1153,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,740,0935,115.0,115.0,1.0,7,0700-0759,9.0,0944,1040,3.0,905,1043,98.0,98.0,1.0,6,0900-0959,0.0,"",0.0,85.0,68.0,56.0,1.0,349.0,2,98.0,0.0,0.0,0.0,0.0,0737,23.0,23.0,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
