Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate,""
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,2666,"",,"","",WN,19393,WN,N900WN,2666,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,735,0726,-9.0,0.0,0.0,-1,0700-0759,11.0,0737,1008,6.0,1020,1014,-6.0,0.0,0.0,-1,1000-1059,0.0,"",0.0,105.0,108.0,91.0,1.0,619.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,682,"",,"","",WN,19393,WN,N8891Q,682,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1435,1428,-7.0,0.0,0.0,-1,1400-1459,12.0,1440,1959,4.0,2005,2003,-2.0,0.0,0.0,-1,2000-2059,0.0,"",0.0,210.0,215.0,199.0,1.0,1670.0,7,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,15,"",,"","",WN,19393,WN,N907WN,15,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,630,0624,-6.0,0.0,0.0,-1,0600-0659,10.0,0634,0857,4.0,920,0901,-19.0,0.0,0.0,-2,0900-0959,0.0,"",0.0,110.0,97.0,83.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,247,"",,"","",WN,19393,WN,N201LV,247,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1605,1558,-7.0,0.0,0.0,-1,1600-1659,7.0,1605,1824,29.0,1845,1853,8.0,8.0,0.0,0,1800-1859,0.0,"",0.0,100.0,115.0,79.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,571,"",,"","",WN,19393,WN,N424WN,571,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,905,0900,-5.0,0.0,0.0,-1,0900-0959,9.0,0909,1131,3.0,1145,1134,-11.0,0.0,0.0,-1,1100-1159,0.0,"",0.0,100.0,94.0,82.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,1471,"",,"","",WN,19393,WN,N7862A,1471,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1100,1052,-8.0,0.0,0.0,-1,1100-1159,8.0,1100,1323,3.0,1345,1326,-19.0,0.0,0.0,-2,1300-1359,0.0,"",0.0,105.0,94.0,83.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,3779,"",,"","",WN,19393,WN,N8896L,3779,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1330,1326,-4.0,0.0,0.0,-1,1300-1359,10.0,1336,1558,3.0,1615,1601,-14.0,0.0,0.0,-1,1600-1659,0.0,"",0.0,105.0,95.0,82.0,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,2335,"",,"","",WN,19393,WN,N900WN,2335,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1225,1217,-8.0,0.0,0.0,-1,1200-1259,10.0,1227,1320,6.0,1345,1326,-19.0,0.0,0.0,-2,1300-1359,0.0,"",0.0,80.0,69.0,53.0,1.0,349.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,3377,"",,"","",WN,19393,WN,N287WN,3377,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,545,0543,-2.0,0.0,0.0,-1,0001-0559,12.0,0555,0650,8.0,710,0658,-12.0,0.0,0.0,-1,0700-0759,0.0,"",0.0,85.0,75.0,55.0,1.0,349.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,4513,"",,"","",WN,19393,WN,N486WN,4513,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1540,1536,-4.0,0.0,0.0,-1,1500-1559,8.0,1544,1639,5.0,1710,1644,-26.0,0.0,0.0,-2,1700-1759,0.0,"",0.0,90.0,68.0,55.0,1.0,349.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,1964,"",,"","",WN,19393,WN,N8779Q,1964,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,12191,1219103,31453,HOU,"Houston, TX",TX,48,Texas,74,705,0703,-2.0,0.0,0.0,-1,0700-0759,13.0,0716,0956,6.0,1000,1002,2.0,2.0,0.0,0,1000-1059,0.0,"",0.0,115.0,119.0,100.0,1.0,759.0,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,31,3,2024-01-31,WN,WN,19393,WN,3126,"",,"","",WN,19393,WN,N410WN,3126,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,12191,1219103,31453,HOU,"Houston, TX",TX,48,Texas,74,1540,1535,-5.0,0.0,0.0,-1,1500-1559,7.0,1542,1824,6.0,1840,1830,-10.0,0.0,0.0,-1,1800-1859,0.0,"",0.0,120.0,115.0,102.0,1.0,759.0,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
