Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate,""
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,513,"",,"","",WN,19393,WN,N420WN,513,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,835,1057,142.0,142.0,1.0,9,0800-0859,12.0,1109,1325,4.0,1115,1329,134.0,134.0,1.0,8,1100-1159,0.0,"",0.0,100.0,92.0,76.0,1.0,619.0,3,134.0,0.0,0.0,0.0,0.0,0835,24.0,24.0,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,2307,"",,"","",WN,19393,WN,N250WN,2307,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,1425,1502,37.0,37.0,1.0,2,1400-1459,7.0,1509,1725,6.0,1705,1731,26.0,26.0,1.0,1,1700-1759,0.0,"",0.0,100.0,89.0,76.0,1.0,619.0,3,26.0,0.0,0.0,0.0,0.0,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,1040,"",,"","",WN,19393,WN,N7825A,1040,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,1420,1524,64.0,64.0,1.0,4,1400-1459,8.0,1532,1622,2.0,1530,1624,54.0,54.0,1.0,3,1500-1559,0.0,"",0.0,130.0,120.0,110.0,1.0,672.0,3,6.0,0.0,0.0,0.0,48.0,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,2524,"",,"","",WN,19393,WN,N8731J,2524,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1435,1506,31.0,31.0,1.0,2,1400-1459,12.0,1518,2013,10.0,2005,2023,18.0,18.0,1.0,1,2000-2059,0.0,"",0.0,210.0,197.0,175.0,1.0,1670.0,7,1.0,0.0,0.0,0.0,17.0,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,943,"",,"","",WN,19393,WN,N295WN,943,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1535,1621,46.0,46.0,1.0,3,1500-1559,8.0,1629,1842,3.0,1815,1845,30.0,30.0,1.0,2,1800-1859,0.0,"",0.0,100.0,84.0,73.0,1.0,580.0,3,10.0,0.0,0.0,0.0,20.0,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,1198,"",,"","",WN,19393,WN,N213WN,1198,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,630,"",,,,,0600-0659,,"","",,915,"",,,,,0900-0959,1.0,B,0.0,105.0,,,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,1476,"",,"","",WN,19393,WN,N295WN,1476,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,845,"",,,,,0800-0859,,"","",,1125,"",,,,,1100-1159,1.0,B,0.0,100.0,,,1.0,580.0,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,2090,"",,"","",WN,19393,WN,N8645A,2090,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1710,1913,123.0,123.0,1.0,8,1700-1759,11.0,1924,2139,4.0,1950,2143,113.0,113.0,1.0,7,1900-1959,0.0,"",0.0,100.0,90.0,75.0,1.0,580.0,3,2.0,0.0,0.0,0.0,111.0,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,4483,"",,"","",WN,19393,WN,N957WN,4483,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1110,1145,35.0,35.0,1.0,2,1100-1159,10.0,1155,1410,3.0,1350,1413,23.0,23.0,1.0,1,1300-1359,0.0,"",0.0,100.0,88.0,75.0,1.0,580.0,3,7.0,0.0,0.0,0.0,16.0,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
2024,1,1,15,1,2024-01-15,WN,WN,19393,WN,664,"",,"","",WN,19393,WN,N8821S,664,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,600,"",,,,,0600-0659,,"","",,730,"",,,,,0700-0759,1.0,B,0.0,90.0,,,1.0,349.0,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",N,
